"","month_of_analyst_forecast","monthly_returns","excess_returns","February","March","April","May","June","July","August","September","October","November","December","quartile_market_capitalization","quartile_feps","quartile_analyst_following"
"1","1",-0.15766666829586,-0.05766666829586,0,0,0,0,0,0,0,0,0,0,0,2,4,4
"2","2",0.0468431785702705,0.0368431785702705,1,0,0,0,0,0,0,0,0,0,0,2,4,4
"3","3",0.00778210116550326,-0.0322178988344967,0,1,0,0,0,0,0,0,0,0,0,2,4,4
"4","4",-0.0362934358417988,0.0037065641582012,0,0,1,0,0,0,0,0,0,0,0,2,4,4
"5","5",0.0645161271095276,-0.0354838728904724,0,0,0,1,0,0,0,0,0,0,0,2,4,4
"6","6",-0.0340909101068973,-0.0340909101068973,0,0,0,0,1,0,0,0,0,0,0,2,4,4
"7","7",0.0972549021244049,0.137254902124405,0,0,0,0,0,1,0,0,0,0,0,2,4,4
"8","8",-0.0737410038709641,0.0562589961290359,0,0,0,0,0,0,1,0,0,0,0,2,4,4
"9","9",-0.0271844659000635,0.0928155340999365,0,0,0,0,0,0,0,1,0,0,0,2,4,4
"10","10",-0.145309373736382,-0.085309373736382,0,0,0,0,0,0,0,0,1,0,0,2,4,4
"11","11",0.0329411774873734,-0.0670588225126266,0,0,0,0,0,0,0,0,0,1,0,2,4,4
"12","12",0.0501138940453529,0.0101138940453529,0,0,0,0,0,0,0,0,0,0,1,2,4,4
"13","1",-0.160391569137573,-0.150391569137573,0,0,0,0,0,0,0,0,0,0,0,4,2,3
"14","2",-0.0134529145434499,-0.0134529145434499,1,0,0,0,0,0,0,0,0,0,0,4,2,3
"15","3",0.025547444820404,-0.014452555179596,0,1,0,0,0,0,0,0,0,0,0,4,2,3
"16","4",-0.0765124559402466,-0.0765124559402466,0,0,1,0,0,0,0,0,0,0,0,4,2,3
"17","5",-0.0953757241368294,-0.0853757241368294,0,0,0,1,0,0,0,0,0,0,0,4,2,3
"18","6",-0.00748663116246462,-0.0174866311624646,0,0,0,0,1,0,0,0,0,0,0,4,2,3
"19","7",0.0431034490466118,0.0231034490466118,0,0,0,0,0,1,0,0,0,0,0,4,2,3
"20","8",0.103305786848068,0.063305786848068,0,0,0,0,0,0,1,0,0,0,0,4,2,3
"21","9",-0.238721802830696,-0.228721802830696,0,0,0,0,0,0,0,1,0,0,0,4,2,3
"22","10",0.133333340287209,0.143333340287209,0,0,0,0,0,0,0,0,1,0,0,4,2,3
"23","11",-0.0130718955770135,0.0069281044229865,0,0,0,0,0,0,0,0,0,1,0,4,2,3
"24","12",0.18847006559372,0.12847006559372,0,0,0,0,0,0,0,0,0,0,1,4,2,3
"25","1",-0.0946648195385933,-0.0746648195385933,0,0,0,0,0,0,0,0,0,0,0,4,4,3
"26","2",0.127530947327614,0.157530947327614,1,0,0,0,0,0,0,0,0,0,0,4,4,3
"27","3",-0.029079107567668,0.020920892432332,0,1,0,0,0,0,0,0,0,0,0,4,4,3
"28","4",-0.0307820998132229,-0.0907820998132229,0,0,1,0,0,0,0,0,0,0,0,4,4,3
"29","5",0.167050078511238,0.137050078511238,0,0,0,1,0,0,0,0,0,0,0,4,4,3
"30","6",-0.122443981468678,0.027556018531322,0,0,0,0,1,0,0,0,0,0,0,4,4,3
"31","7",-0.0524985678493977,-0.0624985678493977,0,0,0,0,0,1,0,0,0,0,0,4,4,3
