"","month_of_analyst_forecast","monthly_returns","excess_returns","February","March","April","May","June","July","August","September","October","November","December","quartile_market_capitalization","quartile_feps","quartile_analyst_following"
"1","2",-0.10179640352726,-0.05179640352726,1,0,0,0,0,0,0,0,0,0,0,3,4,1
"2","3",0.0799999982118607,0.0499999982118607,0,1,0,0,0,0,0,0,0,0,0,3,4,1
"3","4",-0.125308647751808,-0.115308647751808,0,0,1,0,0,0,0,0,0,0,0,3,4,1
"4","5",-0.0355871878564358,0.0344128121435642,0,0,0,1,0,0,0,0,0,0,0,3,4,1
"5","6",0.00369003694504499,-0.026309963054955,0,0,0,0,1,0,0,0,0,0,0,3,4,1
"6","7",-0.0683823525905609,0.00161764740943911,0,0,0,0,0,1,0,0,0,0,0,3,4,1
"7","8",0.1394422352314,-0.000557764768600005,0,0,0,0,0,0,1,0,0,0,0,3,4,1
"8","9",-0.0769230797886848,-0.0569230797886848,0,0,0,0,0,0,0,1,0,0,0,3,4,1
"9","10",0.107575759291649,0.137575759291649,0,0,0,0,0,0,0,0,1,0,0,3,4,1
"10","11",-0.0206896550953388,0.0093103449046612,0,0,0,0,0,0,0,0,0,1,0,3,4,1
"11","12",0.0422535203397274,0.0422535203397274,0,0,0,0,0,0,0,0,0,0,1,3,4,1
"12","1",0.0418918915092945,-0.158108108490706,0,0,0,0,0,0,0,0,0,0,0,2,4,3
"13","2",-0.0326797403395176,-0.0426797403395176,1,0,0,0,0,0,0,0,0,0,0,2,4,3
"14","3",-0.0743243247270584,-0.0143243247270584,0,1,0,0,0,0,0,0,0,0,0,2,4,3
"15","4",-0.0970802903175354,-0.0570802903175354,0,0,1,0,0,0,0,0,0,0,0,2,4,3
"16","5",0.0530612245202065,-0.0169387754797935,0,0,0,1,0,0,0,0,0,0,0,2,4,3
"17","6",0.0620155036449432,0.0420155036449432,0,0,0,0,1,0,0,0,0,0,0,2,4,3
"18","7",0.0598540157079697,0.0398540157079697,0,0,0,0,0,1,0,0,0,0,0,2,4,3
"19","8",-0.0104166669771075,0.0195833330228925,0,0,0,0,0,0,1,0,0,0,0,2,4,3
"20","9",-0.0736842080950737,0.0063157919049263,0,0,0,0,0,0,0,1,0,0,0,2,4,3
"21","10",-0.025000000372529,-0.045000000372529,0,0,0,0,0,0,0,0,1,0,0,2,4,3
"22","11",0.125490203499794,0.00549020349979401,0,0,0,0,0,0,0,0,0,1,0,2,4,3
"23","12",0.0731707289814949,0.0031707289814949,0,0,0,0,0,0,0,0,0,0,1,2,4,3
"24","1",0.0909090936183929,0.0609090936183929,0,0,0,0,0,0,0,0,0,0,0,2,4,1
"25","2",0.0666666701436043,-0.0333333298563957,1,0,0,0,0,0,0,0,0,0,0,2,4,1
"26","3",-0.0477528087794781,-0.117752808779478,0,1,0,0,0,0,0,0,0,0,0,2,4,1
"27","4",-0.0401179939508438,-0.0401179939508438,0,0,1,0,0,0,0,0,0,0,0,2,4,1
"28","5",0.015479875728488,-0.034520124271512,0,0,0,1,0,0,0,0,0,0,0,2,4,1
"29","6",-0.0701219514012337,-0.0701219514012337,0,0,0,0,1,0,0,0,0,0,0,2,4,1
"30","7",-0.106885246932507,-0.016885246932507,0,0,0,0,0,1,0,0,0,0,0,2,4,1
"31","8",0.0962962955236435,0.0362962955236435,0,0,0,0,0,0,1,0,0,0,0,2,4,1
"32","9",0,0.06,0,0,0,0,0,0,0,1,0,0,0,2,4,1
"33","10",-0.0168918911367655,-0.0768918911367655,0,0,0,0,0,0,0,0,1,0,0,2,4,1
"34","11",-0.0398625433444977,-0.0398625433444977,0,0,0,0,0,0,0,0,0,1,0,2,4,1
"35","12",-0.0216606501489878,-0.0016606501489878,0,0,0,0,0,0,0,0,0,0,1,2,4,1
"36","1",-0.122994653880596,-0.182994653880596,0,0,0,0,0,0,0,0,0,0,0,2,4,1
"37","2",0.147560968995094,0.057560968995094,1,0,0,0,0,0,0,0,0,0,0,2,4,1
"38","3",-0.0695187151432037,-0.0895187151432037,0,1,0,0,0,0,0,0,0,0,0,2,4,1
"39","4",0.00862068962305784,-0.0213793103769422,0,0,1,0,0,0,0,0,0,0,0,2,4,1
"40","5",0.0552706569433212,0.0652706569433212,0,0,0,1,0,0,0,0,0,0,0,2,4,1
"41","6",0.157608702778816,0.077608702778816,0,0,0,0,1,0,0,0,0,0,0,2,4,1
"42","7",-0.00704225338995457,-0.00704225338995457,0,0,0,0,0,1,0,0,0,0,0,2,4,1
"43","8",-0.0335697382688522,-0.0135697382688522,0,0,0,0,0,0,1,0,0,0,0,2,4,1
"44","9",0.0394088663160801,-0.0105911336839199,0,0,0,0,0,0,0,1,0,0,0,2,4,1
"45","10",0.0611374415457249,0.0611374415457249,0,0,0,0,0,0,0,0,1,0,0,2,4,1
"46","11",-0.0471910126507282,-0.0171910126507282,0,0,0,0,0,0,0,0,0,1,0,2,4,1
"47","12",0.0566037744283676,0.0166037744283676,0,0,0,0,0,0,0,0,0,0,1,2,4,1
"48","1",0.181160718202591,0.111160718202591,0,0,0,0,0,0,0,0,0,0,0,3,3,4
"49","2",-0.0483558997511864,-0.0383558997511864,1,0,0,0,0,0,0,0,0,0,0,3,3,4
"50","3",-0.0264227651059627,-0.0464227651059627,0,1,0,0,0,0,0,0,0,0,0,3,3,4
"51","4",0.0563674308359623,-0.0036325691640377,0,0,1,0,0,0,0,0,0,0,0,3,3,4
"52","5",0.0300395265221596,-0.0099604734778404,0,0,0,1,0,0,0,0,0,0,0,3,3,4
"53","6",-0.00965250935405493,0.000347490645945071,0,0,0,0,1,0,0,0,0,0,0,3,3,4
"54","7",0.0822612121701241,0.0122612121701241,0,0,0,0,0,1,0,0,0,0,0,3,3,4
