"","Overall","Q1(Low)","Q2","Q3","Q4(High)"
"January",-0.534064986171998,-0.829185905266946,0.385683187978328,-0.0274824566941106,-0.572768040424169
"February",1.28497859125077,1.22913795964527,-0.880944639916128,0.659814433318933,1.37884607029173
"March",6.13550293503354,2.33152168216526,2.69783578428404,3.49969372685085,3.59264212645963
"April",7.7150664270622,3.34898949056833,4.88770890336368,3.38847075592734,3.96861525276511
"May",-1.3615889610998,-0.176408725163339,-1.8678421468256,0.721186114325859,-1.45865449537478
"June",0.72115947103589,1.17499926078206,1.3672258661038,-0.386253876428732,-0.350201147819625
"July",-4.68305174383993,-2.10334742644571,-3.38043305121898,-2.25820125657959,-1.84112930533533
"August",1.20208841306202,1.67730743553775,0.065340710232165,0.893500605236227,-0.0689367420788358
"September",3.62028039614149,1.93018941286509,1.16394779623584,2.16373470095755,1.93578325283812
"October",-3.41389603833658,-0.128214006249827,-2.744130990162,-2.68448425164701,-1.24553258877628
"November",-3.56582596313199,-0.0459654894775006,-3.59814554634163,-3.03944599216895,-0.577245017129622
"December",-1.18578445833869,0.725784527851164,-2.29401613277883,-0.886921760645594,-0.021401606527605
