"","Overall","Q1(Low)","Q2","Q3","Q4(High)"
"January",-0.534064986171998,-0.819225495521232,-1.18117176698812,2.60809174491305,-1.8090491017947
"February",1.28497859125077,0.762091885158282,1.08248221092401,0.0149565826244746,0.703690750707996
"March",6.13550293503354,4.28367359937786,4.41622763938901,0.973096487017178,2.07287519409959
"April",7.7150664270622,3.80720174416004,5.82067088222392,2.279269449916,3.64371040558063
"May",-1.3615889610998,-0.586291296733939,0.0672790523725738,-2.4083448784382,0.283008740473213
"June",0.72115947103589,0.624446293801721,1.14081974092595,-1.83159832221152,1.71690768676268
"July",-4.68305174383993,-2.22466772066148,-1.52557383627683,-4.67733742546871,-0.901901812347481
"August",1.20208841306202,1.16412783988602,1.33934782936372,-2.41259064117771,2.60376425307879
"September",3.62028039614149,4.25110194143958,0.994997003581319,-0.534929913487689,1.96922096193729
"October",-3.41389603833658,-1.18972616470823,-1.08993484188131,-4.4050157936999,-0.137140431139808
"November",-3.56582596313199,-1.16544812433734,-1.30547157709228,-4.93807107933355,0.409412404088413
"December",-1.18578445833869,0.176683251759214,-0.252728305585121,-3.12903479280708,0.844274674189713
