"","Overall","Q1(Low)","Q2","Q3","Q4(High)"
"January",13.1943072755399,7.08901737008897,5.73852999353643,6.37715349061429,7.29582935169099
"February",-1.38181704621661,-0.583410735933603,-0.984009509244295,-0.243362134983987,-0.950603781070409
"March",-6.21567002659209,-3.33058284537534,-3.90905173172116,-2.121998955883,-3.20602895606774
"April",-5.94683573548535,-3.07762220078889,-1.44079508808308,-2.1995517815182,-5.04938522462162
"May",-1.07365917332185,-0.244576927000044,0.133789704305179,-0.907377134696682,-1.02532186926673
"June",-9.10432581334249,-3.11018091939648,-4.06296318672496,-5.84391552287109,-4.98263362174649
"July",-6.50008753378593,-3.58229935271412,-3.58361510400514,-2.8116429562756,-3.16047177644554
"August",-3.37724511831379,-2.67903999706589,-0.60801066579515,-0.247149191212615,-3.27154436697343
"September",-13.4487948170473,-6.6974085857774,-5.75048714324874,-6.23483042141461,-8.20087599820382
"October",-14.875451676463,-6.33865042867446,-6.70314600967889,-8.65115504382562,-7.93454280180649
"November",-8.65622365527376,-4.98156314461491,-4.43063181084793,-4.30589691201883,-3.810135579574
"December",-2.88759673007689,-2.1280623094418,-0.284098356346413,-1.59181432713071,-1.82079773700786
