"","Overall","Q1(Low)","Q2","Q3","Q4(High)"
"January",13.1943072755399,NA,NA,NA,NA
"February",-1.38181704621661,NA,NA,NA,NA
"March",-6.21567002659209,NA,NA,NA,NA
"April",-5.94683573548535,NA,NA,NA,NA
"May",-1.07365917332185,NA,NA,NA,NA
"June",-9.10432581334249,NA,NA,NA,NA
"July",-6.50008753378593,NA,NA,NA,NA
"August",-3.37724511831379,NA,NA,NA,NA
"September",-13.4487948170473,NA,NA,NA,NA
"October",-14.875451676463,NA,NA,NA,NA
"November",-8.65622365527376,NA,NA,NA,NA
"December",-2.88759673007689,NA,NA,NA,NA
